play_id,pitch_result,game_date,is_run,F1_peak1s_ftps,F2_burst_ft,F3_straightness,F5_sustain_frac,F7_brake_decel_ftps2,slide_flag,z_drop_ft,base_reached,max_disp_ft,path_len_ft,net_disp_ft,run_dur_s
play_0007,hit_into_play_no_out,2025-05-11,True,26.689652384173613,28.240396108563118,0.6205009349763538,0.30996309963099633,21.1587542898737,False,-0.0924999999999998,1B,106.47815746021577,143.33741372412294,88.94099923291074,9.0
play_0014,swinging_strike,2025-05-20,False,6.9036557121983035,8.19732548302168,0.9660174032865219,0.2878787878787879,33.55664961587203,False,0.1673499999999999,,24.540718432841363,24.716294146448263,23.87637029021781,4.367000000000001
play_0023,hit_into_play_no_out,2025-05-29,True,28.26285750041748,28.501467365465345,0.9984169098542951,0.5175438596491229,19.078361067322362,False,0.04665000000000008,1B,98.47757351694342,90.25629313968545,90.11340929142817,3.766
play_0028,hit_into_play,2025-05-20,True,27.780454714482804,27.584611618555254,0.9981804787226486,0.5,20.25341162609749,False,0.08925000000000027,1B,117.2618249005404,89.64863142689569,89.48551383452902,3.8329999999999993
play_0032,hit_into_play_score,2025-05-07,True,21.04620069457295,23.32002997126486,0.31054583739208436,0.53125,23.31599149190353,False,0.2561,3B,127.01975938225124,281.03756514406336,87.27504600629561,14.899999999999999
play_0040,hit_into_play_no_out,2025-05-11,True,24.666942783939696,27.034446921003052,0.8436979133927274,0.31390134529147984,8.555378292282931,False,-0.0512999999999999,1B,96.44288284224244,106.69965070207408,90.02227265707276,7.3999999999999995
play_0043,swinging_strike,2025-05-15,False,7.393654075346405,6.708025707270664,0.984550456436722,0.02631578947368421,16.609405730351853,False,0.17074999999999996,,20.697725546119795,19.40528892242091,19.105486065855974,3.765999999999999
play_0046,swinging_strike,2025-05-20,False,6.316064999212398,8.195241493550965,0.9789174314931254,0.5625,47.402014183022764,False,0.35994999999999955,,25.133696469530697,24.744052920181556,24.222384729354097,4.233
play_0071,hit_into_play,2025-05-21,False,18.016572055330588,9.041913446795501,0.9989653099149491,0.42105263157894735,13.65490052047734,False,0.685,,12.082444302582157,9.051278715139087,9.041913446795501,0.5999999999999996
play_0074,hit_into_play,2025-05-11,True,19.888516409906995,25.661551690468432,0.9853054950592977,0.263681592039801,15.56274541930285,False,0.09620000000000006,,83.52252210000006,81.67973038744961,80.479487185716,6.667000000000001
play_0077,hit_into_play,2025-05-11,True,28.358475052636184,26.032374760001396,0.9978853777468191,0.4827586206896552,21.07720204744004,False,0.04985000000000017,1B,144.7920507036298,89.80758368243211,89.61767456747283,3.833
play_0092,ball,2025-05-15,False,4.940297569967269,3.8217870333869977,0.9510076676828396,0.1259259259259259,6.012812442711201,False,0.10639999999999983,,12.364848263525113,9.85028215979084,9.367693862800571,4.4670000000000005
play_0094,hit_into_play,2025-05-11,True,28.87232109594453,28.23870595378922,0.9980959286078851,0.48672566371681414,36.61610645815455,False,0.2110000000000003,1B,101.11325360663656,89.76338714609905,89.59247124857482,3.734
play_0101,hit_into_play,2025-05-08,True,27.413934460348294,28.007159159888527,0.9983620350788958,0.5603448275862069,26.04339693562048,False,0.09219999999999962,1B,142.62494840827287,90.04690691479014,89.89941324000978,3.833
play_0102,swinging_strike,2025-05-11,False,6.479710976706075,7.089853219038543,0.9645666051538818,0.20588235294117646,9.872054946007978,False,0.16845,,19.43434753863633,17.538808838175616,16.917349299481952,3.367000000000001
play_0105,blocked_ball,2025-05-11,False,6.16224205190045,7.9895971457480925,0.926713137728996,0.16546762589928057,5.536708688180958,False,0.0935999999999999,,14.918017279283463,13.942634149913701,12.920822241273978,4.6
play_0110,hit_into_play_score,2025-05-26,True,19.479947347187274,19.92953657684979,0.6670349775143887,0.7178683385579937,12.231958630453732,False,0.28869999999999996,2B,127.13607457768428,187.26069083253813,124.90943069881097,10.599
play_0115,hit_into_play_no_out,2025-05-26,True,26.196591781796542,27.501032241110416,0.6844307372056452,0.46863468634686345,24.83681528138058,False,0.11399999999999988,2B,130.1323344728838,185.0552611742454,126.65750882927199,9.0
play_0118,hit_into_play,2025-05-24,True,21.454406741194948,25.106463295139868,0.9514761298308243,0.291005291005291,22.81426331951547,False,0.08840000000000003,1B,90.4806126892662,91.80518253972497,87.35043978130987,6.266
play_0137,swinging_strike,2025-05-26,False,7.023345323499629,7.714670749183683,0.9686167872443865,0.19852941176470587,14.449151176716043,False,0.20179999999999998,,24.778680631391577,25.173237772159304,24.38322069540798,4.499999999999999
play_0150,swinging_strike,2025-05-24,False,7.238553783893177,9.091120018143881,0.9599272922598734,0.3394495412844037,17.393302802920815,False,0.18120000000000003,,22.845211737473566,22.20046521154481,21.310832457427725,3.6000000000000005
play_0159,hit_into_play_no_out,2025-05-11,True,25.89824758195684,27.72761175647625,0.7112299926980183,0.25547445255474455,13.306797867167866,False,-0.12564999999999982,1B,97.60609356388822,125.79665528402481,89.4703542190921,9.1
play_0160,hit_into_play_no_out,2025-05-15,True,27.591703632670754,28.274775393101645,0.6563471128213548,0.3275862068965517,8.21490339487317,False,-0.12860000000000005,2B,129.63200484217816,191.45918719619266,125.66368473934435,15.433999999999997
play_0162,swinging_strike,2025-05-07,False,6.165150168112876,7.8416251639255465,0.9806327004746919,0.5076923076923077,33.034343306977874,False,0.14264999999999972,,25.48912035893942,24.25329168020031,23.783570915755206,4.300000000000001
play_0174,swinging_strike,2025-05-11,False,6.242441886408845,7.845705594275999,0.9921275854735466,0.4,14.332424528593037,False,0.14179999999999993,,18.458433183304045,16.25622764179702,16.128251879164406,2.9670000000000005
play_0175,called_strike,2025-05-29,False,5.74040356961566,6.47587740046575,0.9901254539176553,0.23076923076923078,11.042376267885587,False,0.1200000000000001,,12.678961045763963,9.728898687888268,9.632830229464252,2.1340000000000003
play_0176,hit_into_play,2025-05-29,True,24.767454195980367,27.18677568436234,0.9334910418811296,0.6434108527131783,17.890705266159955,False,0.1504000000000003,1B,106.44596268440621,93.70131679149326,87.46933983732482,4.2669999999999995
play_0177,hit_into_play,2025-05-19,True,23.738096637288205,26.27423084382957,0.9488158037471826,0.5223880597014925,17.051954657777628,False,0.12339999999999973,1B,110.77851798893592,92.21241982140452,87.49260122831856,4.434000000000001
play_0191,hit_into_play,2025-05-23,True,22.178568423999725,25.218990298678968,0.9414187094833908,0.46258503401360546,12.750788039920195,False,0.1468999999999996,1B,95.74144520995074,93.00869773362419,87.56012819111926,4.867000000000001
play_0193,swinging_strike,2025-05-24,False,6.640037863913068,7.750433375526183,0.9680247384174796,0.43478260869565216,20.284986501515263,False,0.17510000000000003,,20.90424239963027,22.1548387496005,21.446431985263466,3.8
play_0210,hit_into_play,2025-05-19,True,16.667023324380004,23.217020988729956,0.8669920784098766,0.12162162162162163,11.637729273127917,False,0.2730999999999999,,55.92693786202227,61.223711840434724,53.08047317650587,7.366999999999999
play_0241,hit_into_play_no_out,2025-05-29,True,26.41284193719497,27.67280945588989,0.66797774265751,0.42578125,39.49641014645337,False,0.5724500000000003,2B,130.63576594773923,189.46280806091244,126.55693884608137,8.5
play_0242,ball,2025-05-29,False,5.594502161033307,4.475347743196495,0.9446740044911134,0.09022556390977443,6.367279725954212,False,0.08919999999999995,,11.8413500184734,9.232380165745152,8.721589542158801,4.3999999999999995
play_0248,swinging_strike,2025-05-29,False,6.833649455633384,8.126040657305492,0.9736537467334978,0.34108527131782945,23.221826816259707,False,0.2347999999999999,,25.623266543222005,24.623683355616755,23.974941557575523,4.265999999999999
play_0251,hit_into_play,2025-05-07,True,22.897614585673576,26.513049652804806,0.9486839953442497,0.42657342657342656,16.03718908582556,False,0.10400000000000009,1B,96.9241357715662,92.20325225242365,87.47174973056296,4.734
play_0261,hit_into_play,2025-05-24,True,25.102808562339018,26.93033323163997,0.9414507332002141,0.656,22.523678166222226,False,0.2160000000000002,1B,112.46533924569826,92.57945775767384,87.15899838524028,4.133
play_0274,hit_into_play,2025-05-19,True,26.137681626726685,28.430398583608962,0.9984111036547121,0.43902439024390244,29.599472334342693,False,0.009500000000000064,1B,122.89603702106305,90.05834533578057,89.91525196001388,4.067
play_0277,hit_into_play,2025-05-19,True,28.10493661693271,28.568821864187264,0.9981679585482413,0.5175438596491229,27.80045084414104,False,0.12254999999999949,1B,137.36043114730128,89.96223551844392,89.79742097388124,3.765999999999999
play_0293,swinging_strike,2025-05-21,False,6.729047496804735,9.26221971674385,0.9597124544269475,0.47474747474747475,35.11846528778559,False,0.12810000000000032,,20.27565999172407,18.00708598423445,17.28162468700673,3.266
play_0304,swinging_strike,2025-05-07,False,6.332881760594324,7.84546707694861,0.9918289402569043,0.45614035087719296,17.578799448634157,False,0.11954999999999982,,22.214318554144306,20.62557315613694,20.457040365642555,3.7669999999999995
play_0307,ball,2025-05-21,False,6.166105039502939,5.145426170039684,0.9655856888037743,0.0763888888888889,6.471997486815262,False,0.07294999999999963,,14.610845989195834,12.037041844868625,11.622795340937325,4.767
play_0309,swinging_strike,2025-05-07,False,5.275415740290958,7.387636150506991,0.9895416484675044,0.5338345864661654,27.82239198817664,False,0.17559999999999976,,22.97987022510136,21.007184869259415,20.787484345188577,4.4
play_0323,hit_into_play_score,2025-05-11,True,20.070064619244253,20.213670038582354,0.30891929493865344,0.31020408163265306,12.84920983981533,False,0.12639999999999985,3B,126.83745939075925,281.3700790721664,86.92064644380682,16.3
play_0330,swinging_strike,2025-05-29,False,7.14246613788101,7.182626542727845,0.9749632745430318,0.0948905109489051,21.6160408667553,False,0.22100000000000009,,24.53373048300034,23.55277839189997,22.963093945553158,4.5329999999999995
play_0336,hit_into_play,2025-05-07,True,27.108891529033777,27.412129337363265,0.9985234206129728,0.5508474576271186,21.458928442717195,False,0.1258499999999998,1B,131.63707711951827,90.17501649637217,90.04186592578878,3.9000000000000004
play_0340,hit_into_play_no_out,2025-05-11,True,24.650535015284973,27.517450903351683,0.9377451245694058,0.48872180451127817,18.631402151952045,False,0.13780000000000037,1B,95.6056683661722,93.84175389807837,87.99964719896502,4.3999999999999995
play_0343,swinging_strike,2025-05-11,False,6.8830469211431184,9.336512368331062,0.9758407538766587,0.4083333333333333,19.022218481647997,False,0.10749999999999993,,24.303466928866342,23.918358585033893,23.340509073111726,3.966
play_0348,hit_into_play,2025-05-20,True,21.900324686849775,19.856570503455313,0.7482498917390753,0.14699331848552338,11.637006057740471,False,0.10139999999999993,1B,103.25857563054993,120.45499374565156,90.13043602961477,14.933
play_0349,hit_into_play_no_out,2025-05-21,True,24.547803743304925,32.75440766291279,0.7910402204503949,0.3026315789473684,96.11415776936025,False,0.3653500000000003,1B,80.62648091850778,103.01519728481586,81.48916436992165,7.566
play_0351,called_strike,2025-05-15,False,6.971633800903005,7.660711295140901,0.9965896877469411,0.18461538461538463,16.61980492086819,False,0.15080000000000027,,14.34708478053991,11.378086534372935,11.339283706448398,2.133000000000001
