game_date,n_runs,n_qual,sprint_ftps,burst_ft,t90_s,F1_z,burst_z,hsr_z,t90_z,h2f_z,output_index_z,confidence,days_rest,load_prior7d_ft,runs_prior7d,readiness,n_amber,n_red
2025-05-07,3,2,25.08604863762547,26.98026580210321,1.5655795615967718,-0.6935901090003482,-0.6111132109804235,-0.8731879937488253,0.5247567938405326,-0.9389246490854095,-0.4132836299722661,ok,,0.0,0,amber,2,0
2025-05-08,1,1,27.413934460348294,28.007159159888527,1.8999999999999995,0.6817728423152983,0.13607137528939653,0.19541111898479233,-0.6239562614171185,0.8115670594686548,0.09732476879309218,low(n<2),1.0,120.58691058211949,3,green,1,0
2025-05-11,8,6,26.523546881392562,27.465256664279693,1.7444155131313321,0.1557134984876131,-0.25822584059026543,-0.2702263083457528,-0.0895333890742913,0.20777568895981366,-0.11556800988067412,ok,3.0,210.13032944579388,4,green,0,0
2025-05-15,1,1,27.591703632670754,28.274775393101645,1.9000000000000004,0.7868025354006665,0.330793371469875,2.5397685089124713,-0.6239562614171216,0.6639699478241821,0.7583520385914728,low(n<2),4.0,543.0049929495781,9,red,1,1
2025-05-19,4,3,26.00419751444419,27.764806345758657,1.7895747685435075,-0.15112881788276455,-0.040268539448672744,-0.5364670211680905,-0.24465257528602607,-0.19878777363079259,-0.24312923844638848,ok,4.0,159.82506223081458,1,green,0,0
2025-05-20,2,1,27.780454714482804,27.584611618555254,1.8999999999999995,0.8983205670889209,-0.17138120238755006,0.22411748317851632,-0.6239562614171185,0.6639699478241821,0.08177514661569218,low(n<2),1.0,362.3973609825285,5,amber,2,0
2025-05-21,1,1,24.547803743304925,32.75440766291279,1.033,-1.0115962926186681,3.5902478793638846,-0.9133671836130017,2.3541339045539385,-1.793087851904407,1.0048545769215385,low(n<2),1.0,472.6484062823779,7,red,0,2
2025-05-23,1,0,,,,,,,,,,low(n<2),2.0,369.12662573683366,7,no-read,0,0
2025-05-24,2,1,25.102808562339018,26.93033323163997,1.633,-0.683687999844971,-0.6474449748584429,0.0133055003047338,0.2931718519788112,-0.056651244322367046,-0.2561639056049672,low(n<2),1.0,395.2279932792479,8,red,2,1
2025-05-26,2,1,26.196591781796542,27.501032241110416,1.5669999999999993,-0.03745831704503936,-0.23219493935775862,1.5295296743137334,0.5198776777620777,0.520713927698662,0.4449385239182533,low(n<2),2.0,485.8587098209158,10,green,0,1
2025-05-29,3,3,26.48151578565241,27.787180236489338,1.83343264980045,0.13088066033037266,-0.023988926612433424,0.48585575707437073,-0.39530162358086723,0.18514722916166013,0.04936146680286067,ok,3.0,246.2711302859609,5,green,1,0
