play_id,pitch_result,game_date,is_run,F1_peak1s_ftps,F2_burst_ft,F3_straightness,F5_sustain_frac,F7_brake_decel_ftps2,slide_flag,z_drop_ft,base_reached,max_disp_ft,path_len_ft,net_disp_ft,run_dur_s,effort_score,h2f_90ft_s,qualifying,hsr_ft,t90_s,F1_peak1s_ftps_z,F2_burst_ft_z,h2f_90ft_s_z,hsr_ft_z,t90_s_z,output_index_z,F1_rolling_baseline
play_0032,hit_into_play_score,2025-05-07,True,21.04620069457295,23.32002997126486,0.31054583739208436,0.53125,23.31599149190353,False,0.2561,3B,127.01975938225124,281.03756514406336,87.27504600629561,14.899999999999999,2.773444830447717e-07,4.8999999999999995,False,7.352726898134737,2.8000000000000007,-3.0804155862586113,-3.274361321585762,-3.8203775912564395,-2.5461917642336576,-3.7153993402798133,-3.154092003089461,
play_0251,hit_into_play,2025-05-07,True,22.897614585673576,26.513049652804806,0.9486839953442497,0.42657342657342656,16.03718908582556,False,0.10400000000000009,1B,96.9241357715662,92.20325225242365,87.47174973056296,4.734,0.9243321128825489,4.6,True,33.96439031918828,1.1669999999999998,-1.9865620782748865,-0.9510674063848953,-2.5180501355699088,-1.6585168777271788,1.8938523794788273,-0.6755734957270333,
play_0336,hit_into_play,2025-05-07,True,27.108891529033777,27.412129337363265,0.9985234206129728,0.5508474576271186,21.458928442717195,False,0.1258499999999998,1B,131.63707711951827,90.17501649637217,90.04186592578878,3.9000000000000004,0.9999985069213668,3.9000000000000004,True,79.26979336479647,1.9340000000000002,0.5015471876910575,-0.2968821620872562,0.520713927698662,-0.1472822032789942,-0.7407441110630447,-0.17084032218455938,25.003253057353675
play_0101,hit_into_play,2025-05-08,True,27.413934460348294,28.007159159888527,0.9983620350788958,0.5603448275862069,26.04339693562048,False,0.09219999999999962,1B,142.62494840827287,90.04690691479014,89.89941324000978,3.833,0.9999998353560084,3.833,True,89.54341886367439,1.8999999999999995,0.6817728423152983,0.13607137528939653,0.8115670594686548,0.19541111898479233,-0.6239562614171185,0.09732476879309218,25.80681352501855
play_0007,hit_into_play_no_out,2025-05-11,True,26.689652384173613,28.240396108563118,0.6205009349763538,0.30996309963099633,21.1587542898737,False,-0.0924999999999998,1B,106.47815746021577,143.33741372412294,88.94099923291074,9.0,0.9999459626617383,3.8659999999999988,True,85.24921389153573,1.633,0.2538520550717558,0.3057784355961323,0.6683110393431425,0.05217099712668152,0.2931718519788112,0.2262433349433452,26.027523239807316
play_0040,hit_into_play_no_out,2025-05-11,True,24.666942783939696,27.034446921003052,0.8436979133927274,0.31390134529147984,8.555378292282931,False,-0.0512999999999999,1B,96.44288284224244,106.69965070207408,90.02227265707276,7.3999999999999995,0.9979784915433901,4.167000000000001,True,58.89704764591836,1.5,-0.9412064904449972,-0.5716901330123998,-0.6383575078623527,-0.826847943221549,0.750018440299631,-0.39743153159482875,25.755407148633793
play_0074,hit_into_play,2025-05-11,True,19.888516409906995,25.661551690468432,0.9853054950592977,0.263681592039801,15.56274541930285,False,0.09620000000000006,,83.52252210000006,81.67973038744961,80.479487185716,6.667000000000001,0.0013622178826339741,9.100000000000001,False,0.0,0.9670000000000005,-3.7643993361950843,-1.5706314028548258,-22.05296197086789,-2.7914538101097994,2.5808397303372006,-1.3864112047056272,
play_0077,hit_into_play,2025-05-11,True,28.358475052636184,26.032374760001396,0.9978853777468191,0.4827586206896552,21.07720204744004,False,0.04985000000000017,1B,144.7920507036298,89.80758368243211,89.61767456747283,3.833,0.9999994040505643,3.8659999999999997,True,95.65796036355654,2.0330000000000004,1.2398269032000442,-1.3008144060969047,0.6683110393431386,0.3993714970366563,-1.0808028497379414,-0.1856047138995364,26.847579242026313
play_0094,hit_into_play,2025-05-11,True,28.87232109594453,28.23870595378922,0.9980959286078851,0.48672566371681414,36.61610645815455,False,0.2110000000000003,1B,101.11325360663656,89.76338714609905,89.59247124857482,3.734,0.9999999996767897,3.7669999999999995,True,80.6647231043529,1.9669999999999996,1.5434177424705917,0.30454865103681883,1.098079099719695,-0.10075207554313673,-0.8540970239546749,0.22327932350239973,27.200265155408466
play_0159,hit_into_play_no_out,2025-05-11,True,25.89824758195684,27.72761175647625,0.7112299926980183,0.25547445255474455,13.306797867167866,False,-0.12564999999999982,1B,97.60609356388822,125.79665528402481,89.4703542190921,9.1,0.9990272661024578,3.9670000000000005,True,71.79783569317861,1.867,-0.2137262229681437,-0.06733193760365598,0.2298607959286692,-0.396521383603484,-0.5106033485254883,-0.29704572317519295,26.89712777973017
