play_id,pitch_result,game_date,tier,tier_name,effort_score,effort_score_dist,tier_kmeans,tier_gmm,F1_peak1s_ftps,F2_burst_ft,F3_straightness,F5_sustain_frac,F7_brake_decel_ftps2,base_reached,max_disp_ft,z_drop_ft,slide_flag
play_0007,hit_into_play_no_out,2025-05-11,1,max-effort,0.9999459626617383,0.7777197073279988,1,1,26.689652384173613,28.240396108563118,0.6205009349763538,0.30996309963099633,21.1587542898737,1B,106.47815746021577,-0.0924999999999998,False
play_0023,hit_into_play_no_out,2025-05-29,1,max-effort,0.9999998889663524,0.844805988491022,1,1,28.26285750041748,28.501467365465345,0.9984169098542951,0.5175438596491229,19.078361067322362,1B,98.47757351694342,0.04665000000000008,False
play_0028,hit_into_play,2025-05-20,1,max-effort,0.9999996060578041,0.9094014154433697,1,1,27.780454714482804,27.584611618555254,0.9981804787226486,0.5,20.25341162609749,1B,117.2618249005404,0.08925000000000027,False
play_0032,hit_into_play_score,2025-05-07,0,sub-max,2.773444830447717e-07,0.34307063230611334,0,0,21.04620069457295,23.32002997126486,0.31054583739208436,0.53125,23.31599149190353,3B,127.01975938225124,0.2561,False
play_0040,hit_into_play_no_out,2025-05-11,1,max-effort,0.9979784915433901,0.6643724144910299,1,1,24.666942783939696,27.034446921003052,0.8436979133927274,0.31390134529147984,8.555378292282931,1B,96.44288284224244,-0.0512999999999999,False
play_0074,hit_into_play,2025-05-11,1,max-effort,0.0013622178826339741,0.6723335870452662,1,0,19.888516409906995,25.661551690468432,0.9853054950592977,0.263681592039801,15.56274541930285,,83.52252210000006,0.09620000000000006,False
play_0077,hit_into_play,2025-05-11,1,max-effort,0.9999994040505643,0.8568341764558678,1,1,28.358475052636184,26.032374760001396,0.9978853777468191,0.4827586206896552,21.07720204744004,1B,144.7920507036298,0.04985000000000017,False
play_0094,hit_into_play,2025-05-11,1,max-effort,0.9999999996767897,0.7309693012630925,1,1,28.87232109594453,28.23870595378922,0.9980959286078851,0.48672566371681414,36.61610645815455,1B,101.11325360663656,0.2110000000000003,False
play_0101,hit_into_play,2025-05-08,1,max-effort,0.9999998353560084,0.8364635700628242,1,1,27.413934460348294,28.007159159888527,0.9983620350788958,0.5603448275862069,26.04339693562048,1B,142.62494840827287,0.09219999999999962,False
play_0110,hit_into_play_score,2025-05-26,0,sub-max,1.3305269178466818e-14,0.01478239793142555,0,0,19.479947347187274,19.92953657684979,0.6670349775143887,0.7178683385579937,12.231958630453732,2B,127.13607457768428,0.28869999999999996,False
play_0115,hit_into_play_no_out,2025-05-26,1,max-effort,0.9999848613345661,0.8768696767998388,1,1,26.196591781796542,27.501032241110416,0.6844307372056452,0.46863468634686345,24.83681528138058,2B,130.1323344728838,0.11399999999999988,False
play_0118,hit_into_play,2025-05-24,1,max-effort,0.0639257380375472,0.7315561877404848,1,0,21.454406741194948,25.106463295139868,0.9514761298308243,0.291005291005291,22.81426331951547,1B,90.4806126892662,0.08840000000000003,False
play_0159,hit_into_play_no_out,2025-05-11,1,max-effort,0.9990272661024578,0.7498993264693213,1,1,25.89824758195684,27.72761175647625,0.7112299926980183,0.25547445255474455,13.306797867167866,1B,97.60609356388822,-0.12564999999999982,False
play_0160,hit_into_play_no_out,2025-05-15,1,max-effort,0.9999944278003333,0.5775544310534708,1,1,27.591703632670754,28.274775393101645,0.6563471128213548,0.3275862068965517,8.21490339487317,2B,129.63200484217816,-0.12860000000000005,False
play_0176,hit_into_play,2025-05-29,1,max-effort,0.9991867809344768,0.8144739121708846,1,1,24.767454195980367,27.18677568436234,0.9334910418811296,0.6434108527131783,17.890705266159955,1B,106.44596268440621,0.1504000000000003,False
play_0177,hit_into_play,2025-05-19,1,max-effort,0.9859327504535101,0.898758693269899,1,1,23.738096637288205,26.27423084382957,0.9488158037471826,0.5223880597014925,17.051954657777628,1B,110.77851798893592,0.12339999999999973,False
play_0191,hit_into_play,2025-05-23,1,max-effort,0.21447633688224502,0.7416816642303337,1,0,22.178568423999725,25.218990298678968,0.9414187094833908,0.46258503401360546,12.750788039920195,1B,95.74144520995074,0.1468999999999996,False
play_0210,hit_into_play,2025-05-19,1,max-effort,1.9679422288335873e-10,0.28403408809108466,0,0,16.667023324380004,23.217020988729956,0.8669920784098766,0.12162162162162163,11.637729273127917,,55.92693786202227,0.2730999999999999,False
play_0241,hit_into_play_no_out,2025-05-29,1,max-effort,0.9999998021213563,0.7228050167622608,1,1,26.41284193719497,27.67280945588989,0.66797774265751,0.42578125,39.49641014645337,2B,130.63576594773923,0.5724500000000003,False
play_0251,hit_into_play,2025-05-07,1,max-effort,0.9243321128825489,0.9100694752794531,1,1,22.897614585673576,26.513049652804806,0.9486839953442497,0.42657342657342656,16.03718908582556,1B,96.9241357715662,0.10400000000000009,False
